anime_id,title,genre,aired,episodes,members,popularity,ranked,score
23209,Sora no Method,SliceofLife,Oct 5 2014 to Dec 28 2014,13,74818,1427,4520,6.82
23209,Sora no Method,Drama,Oct 5 2014 to Dec 28 2014,13,74818,1427,4520,6.82
23209,Sora no Method,Fantasy,Oct 5 2014 to Dec 28 2014,13,74818,1427,4520,6.82
23209,Sora no Method,School,Oct 5 2014 to Dec 28 2014,13,74818,1427,4520,6.82
23213,Kantoku Fuyuki Todoki,Comedy,Apr 4 2014 to Jul 4 2014,13,5589,5507,8506,5.95
23213,Kantoku Fuyuki Todoki,Josei,Apr 4 2014 to Jul 4 2014,13,5589,5507,8506,5.95
23213,Kantoku Fuyuki Todoki,SliceofLife,Apr 4 2014 to Jul 4 2014,13,5589,5507,8506,5.95
23225,Yuru Yuri Nachuyachumi!,Comedy,Feb 18 2015,1,51557,1863,677,7.93
23225,Yuru Yuri Nachuyachumi!,ShoujoAi,Feb 18 2015,1,51557,1863,677,7.93
23225,Yuru Yuri Nachuyachumi!,SliceofLife,Feb 18 2015,1,51557,1863,677,7.93
23227,Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,SliceofLife,Mar 28 2014,1,34644,2371,3044,7.18
23227,Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,Comedy,Mar 28 2014,1,34644,2371,3044,7.18
23227,Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,Romance,Mar 28 2014,1,34644,2371,3044,7.18
23227,Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,Seinen,Mar 28 2014,1,34644,2371,3044,7.18
23229,Meshimase Lodoss-tou Senki: Sorette Oishii no?,Comedy,Apr 6 2014 to Jun 29 2014,13,1840,8136,9355,5.68
23233,Shinmai Maou no Testament,Action,Jan 8 2015 to Mar 26 2015,12,363224,251,3892,6.98
23233,Shinmai Maou no Testament,Ecchi,Jan 8 2015 to Mar 26 2015,12,363224,251,3892,6.98
23233,Shinmai Maou no Testament,Fantasy,Jan 8 2015 to Mar 26 2015,12,363224,251,3892,6.98
23233,Shinmai Maou no Testament,Romance,Jan 8 2015 to Mar 26 2015,12,363224,251,3892,6.98
23233,Shinmai Maou no Testament,Harem,Jan 8 2015 to Mar 26 2015,12,363224,251,3892,6.98
23233,Shinmai Maou no Testament,Demons,Jan 8 2015 to Mar 26 2015,12,363224,251,3892,6.98
23237,Chuunibyou demo Koi ga Shitai! Ren Specials,Comedy,Mar 19 2014 to Sep 17 2014,7,38363,2248,3122,7.16
23245,Go Go Toraemon,Comedy,Apr 25 1986,1,159,14176,12118,6.14
23245,Go Go Toraemon,Sports,Apr 25 1986,1,159,14176,12118,6.14
23247,Oshaburi Announcer,Hentai,May 23 2014,1,3692,6501,,6.84
23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Action,Dec 6 2014,1,9635,4406,924,7.8
23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Military,Dec 6 2014,1,9635,4406,924,7.8
23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Sci-Fi,Dec 6 2014,1,9635,4406,924,7.8
23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Space,Dec 6 2014,1,9635,4406,924,7.8
23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Drama,Dec 6 2014,1,9635,4406,924,7.8
23251,Gugure! Kokkuri-san,Comedy,Oct 6 2014 to Dec 22 2014,12,133287,850,1326,7.63
23251,Gugure! Kokkuri-san,Shounen,Oct 6 2014 to Dec 22 2014,12,133287,850,1326,7.63
23251,Gugure! Kokkuri-san,Supernatural,Oct 6 2014 to Dec 22 2014,12,133287,850,1326,7.63
23259,Gundam: G no Reconguista,Action,Oct 3 2014 to Mar 27 2015,26,22565,3012,9035,5.78
23259,Gundam: G no Reconguista,Mecha,Oct 3 2014 to Mar 27 2015,26,22565,3012,9035,5.78
23259,Gundam: G no Reconguista,Sci-Fi,Oct 3 2014 to Mar 27 2015,26,22565,3012,9035,5.78
23259,Gundam: G no Reconguista,Space,Oct 3 2014 to Mar 27 2015,26,22565,3012,9035,5.78
23265,Genroku Koi Moyou: Sankichi to Osayo,Adventure,Jun 23 1934,1,397,11533,10548,5.22
23265,Genroku Koi Moyou: Sankichi to Osayo,Romance,Jun 23 1934,1,397,11533,10548,5.22
23267,Osaru no Tairyou,SliceofLife,Dec 1 1933,1,315,12034,10639,5.18
23269,Hello!! Kiniro Mosaic,SliceofLife,Apr 6 2015 to Jun 22 2015,12,56906,1735,1478,7.58
23269,Hello!! Kiniro Mosaic,Comedy,Apr 6 2015 to Jun 22 2015,12,56906,1735,1478,7.58
23269,Hello!! Kiniro Mosaic,School,Apr 6 2015 to Jun 22 2015,12,56906,1735,1478,7.58
23269,Hello!! Kiniro Mosaic,Seinen,Apr 6 2015 to Jun 22 2015,12,56906,1735,1478,7.58
23273,Shigatsu wa Kimi no Uso,Drama,Oct 10 2014 to Mar 20 2015,22,995473,28,24,8.83
23273,Shigatsu wa Kimi no Uso,Music,Oct 10 2014 to Mar 20 2015,22,995473,28,24,8.83
23273,Shigatsu wa Kimi no Uso,Romance,Oct 10 2014 to Mar 20 2015,22,995473,28,24,8.83
23273,Shigatsu wa Kimi no Uso,School,Oct 10 2014 to Mar 20 2015,22,995473,28,24,8.83
23273,Shigatsu wa Kimi no Uso,Shounen,Oct 10 2014 to Mar 20 2015,22,995473,28,24,8.83
23275,Tsubuâ˜…Doll,Music,Not available,5,1766,8229,,
23277,Saenai Heroine no Sodatekata,Harem,Jan 16 2015 to Mar 27 2015,12,339978,284,1396,7.61
